11.246,13.686,8.5801,12.628,21.697,4.4116,8.0796,13.354,12.648,9.8966,10.038,5.771,9.3749,16.329,20.148,19.971
11.198,13.566,8.5407,12.555,21.556,4.4087,8.0576,13.264,12.578,9.8454,10.004,5.7638,9.3438,16.245,20.038,19.857
11.151,13.448,8.5018,12.482,21.417,4.4059,8.0359,13.175,12.509,9.7946,9.9702,5.7566,9.313,16.161,19.929,19.744
11.105,13.33,8.4632,12.41,21.279,4.4031,8.0148,13.086,12.44,9.7442,9.9369,5.7496,9.2824,16.078,19.821,19.631
11.059,13.214,8.425,12.338,21.142,4.4004,7.994,12.999,12.372,9.6942,9.9039,5.7427,9.2521,15.995,19.713,19.519
11.013,13.098,8.3872,12.267,21.006,4.3978,7.9737,12.912,12.304,9.6446,9.8712,5.7358,9.2221,15.913,19.606,19.408
10.968,12.984,8.3498,12.196,20.871,4.3952,7.9538,12.826,12.237,9.5955,9.8387,5.729,9.1923,15.832,19.5,19.297
10.923,12.87,8.3127,12.126,20.737,4.3927,7.9343,12.741,12.17,9.5468,9.8064,5.7222,9.1628,15.751,19.394,19.188
10.878,12.758,8.2761,12.056,20.604,4.3903,7.9153,12.656,12.104,9.4985,9.7744,5.7156,9.1336,15.67,19.289,19.078
10.834,12.647,8.2399,11.987,20.472,4.3879,7.8967,12.572,12.039,9.4506,9.7427,5.709,9.1047,15.59,19.185,18.97
10.79,12.536,8.2041,11.918,20.341,4.3856,7.8785,12.489,11.974,9.4031,9.7112,5.7025,9.076,15.51,19.082,18.862
10.747,12.427,8.1687,11.85,20.212,4.3833,7.8608,12.407,11.91,9.3561,9.68,5.6961,9.0476,15.431,18.979,18.755
10.704,12.319,8.1336,11.782,20.083,4.3812,7.8435,12.326,11.846,9.3095,9.6491,5.6898,9.0194,15.353,18.877,18.649
10.662,12.211,8.099,11.714,19.956,4.3791,7.8266,12.245,11.783,9.2632,9.6183,5.6835,8.9915,15.275,18.776,18.543
10.62,12.105,8.0648,11.648,19.829,4.3771,7.8092,12.165,11.721,9.2175,9.5879,5.6773,8.9639,15.197,18.675,18.438
10.579,12,8.031,11.581,19.704,4.3751,7.7953,12.085,11.659,9.1721,9.5577,5.6712,8.9366,15.12,18.576,18.334
10.538,11.895,7.9975,11.515,19.58,4.3732,7.7818,12.007,11.597,9.1271,9.5278,5.6652,8.9095,15.044,18.477,18.23
10.497,11.792,7.9645,11.45,19.456,4.3714,7.7687,11.929,11.537,9.0826,9.4981,5.6592,8.8827,14.967,18.378,18.128
10.457,11.69,7.9318,11.385,19.334,4.3696,7.756,11.852,11.476,9.0385,9.4687,5.6533,8.8561,14.892,18.281,18.025
10.417,11.589,7.8996,11.321,19.213,4.3679,7.7437,11.776,11.417,8.9948,9.4395,5.6475,8.8298,14.817,18.184,17.924
